key,value,date
CHEMBL1200699,0,2019-10-01
CHEMBL2103749,0,2019-10-01
CHEMBL1550,0,2019-10-01
CHEMBL660,0,2019-10-01
CHEMBL1230314,0,2019-10-01
CHEMBL316966,0,2019-10-01
CHEMBL1697734,0,2019-10-01
CHEMBL3989944,0,2019-10-01
CHEMBL744,0,2019-10-01
CHEMBL431701,0,2019-10-01
CHEMBL549963,0,2019-10-01
CHEMBL34833,0,2019-10-01
CHEMBL2106418,0,2019-10-01
CHEMBL1616046,0,2019-10-01
CHEMBL1077896,0,2019-10-01
CHEMBL1200969,0,2019-10-01
CHEMBL1230866,0,2019-10-01
CHEMBL1401,0,2019-10-01
CHEMBL275638,0,2019-10-01
CHEMBL490,0,2019-10-01
CHEMBL3989496,0,2019-10-01
CHEMBL44618,0,2019-10-01
CHEMBL468,0,2019-10-01
CHEMBL170,0,2019-10-01
CHEMBL714,0,2019-10-01
CHEMBL1234,0,2019-10-01
CHEMBL1431,0,2019-10-01
CHEMBL83,0,2019-10-01
CHEMBL4297264,0,2019-10-01
CHEMBL1516,0,2019-10-01
CHEMBL2095208,0,2019-10-01
CHEMBL3137301,0,2019-10-01
CHEMBL461101,0,2019-10-01
CHEMBL16,0,2019-10-01
CHEMBL249263,0,2019-10-01
CHEMBL455477,0,2019-10-01
CHEMBL2074764,0,2019-10-01
CHEMBL1098,0,2019-10-01
CHEMBL458019,0,2019-10-01
CHEMBL1642,0,2019-10-01
CHEMBL14249,0,2019-10-01
CHEMBL275330,0,2019-10-01
CHEMBL395429,0,2019-10-01
CHEMBL534,0,2019-10-01
CHEMBL1218,0,2019-10-01
CHEMBL207538,0,2019-10-01
CHEMBL434394,0,2019-10-01
CHEMBL526514,0,2019-10-01
CHEMBL556,0,2019-10-01
CHEMBL1323,0,2019-10-01
CHEMBL1017,0,2019-10-01
CHEMBL277500,0,2019-10-01
CHEMBL3989702,0,2019-10-01
CHEMBL930,0,2019-10-01
CHEMBL410182,0,2019-10-01
CHEMBL274323,0,2019-10-01
CHEMBL31574,0,2019-10-01
CHEMBL1880349,0,2019-10-01
CHEMBL1201772,0,2019-10-01
CHEMBL1380,0,2019-10-01
CHEMBL29411,0,2019-10-01
CHEMBL2146125,0,2019-10-01
CHEMBL941,0,2019-10-01
CHEMBL19215,0,2019-10-01
CHEMBL1201304,0,2019-10-01
CHEMBL502835,0,2019-10-01
CHEMBL469662,0,2019-10-01
CHEMBL1424,0,2019-10-01
CHEMBL525028,0,2019-10-01
CHEMBL4297333,0,2019-10-01
CHEMBL1535,0,2019-10-01
CHEMBL1201073,0,2019-10-01
CHEMBL76232,0,2019-10-01
CHEMBL398673,0,2019-10-01
CHEMBL1256391,0,2019-10-01
CHEMBL257975,0,2019-10-01
CHEMBL548,0,2019-10-01
CHEMBL607023,0,2019-10-01
CHEMBL15844,0,2019-10-01
CHEMBL370143,0,2019-10-01
CHEMBL723,0,2019-10-01
CHEMBL1200371,0,2019-10-01
CHEMBL359965,0,2019-10-01
CHEMBL177367,0,2019-10-01
CHEMBL195591,0,2019-10-01
CHEMBL103,0,2019-10-01
CHEMBL6966,0,2019-10-01
CHEMBL295124,0,2019-10-01
CHEMBL27810,0,2019-10-01
CHEMBL1200928,0,2019-10-01
CHEMBL1235646,0,2019-10-01
CHEMBL172513,0,2019-10-01
CHEMBL858,0,2019-10-01
CHEMBL413965,0,2019-10-01
CHEMBL237500,0,2019-10-01
CHEMBL1448,0,2019-10-01
